event_id,senator,filing_date,transaction_date,execution_date,action,ticker,asset_type,owner,amount_range,status,reason,execution_price,notional_usd,shares,cash_after_usd
senate_f1058108-7055-4891-9a74-98eb4b670d65_t13,Rick Scott,2025-08-13,2024-02-14,,buy,,Municipal Security,Self,"$100,001 - $250,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t14,Rick Scott,2025-08-13,2024-02-14,,buy,,Municipal Security,Self,"$500,001 - $1,000,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t15,Rick Scott,2025-08-13,2024-02-14,,buy,,Municipal Security,Spouse,"$500,001 - $1,000,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t16,Rick Scott,2025-08-13,2024-02-14,,buy,,Municipal Security,Spouse,"$250,001 - $500,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t10,Rick Scott,2025-08-13,2024-02-15,,sell,,Municipal Security,Spouse,"$250,001 - $500,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t11,Rick Scott,2025-08-13,2024-02-15,,sell,,Municipal Security,Self,"$500,001 - $1,000,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t12,Rick Scott,2025-08-13,2024-02-15,,sell,,Municipal Security,Spouse,"$250,001 - $500,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t6,Rick Scott,2025-08-13,2024-02-15,,sell,,Municipal Security,Self,"$100,001 - $250,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t7,Rick Scott,2025-08-13,2024-02-15,,sell,,Municipal Security,Self,"$100,001 - $250,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t8,Rick Scott,2025-08-13,2024-02-15,,sell,,Municipal Security,Spouse,"$250,001 - $500,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t2,Rick Scott,2025-08-13,2024-03-04,,buy,,Municipal Security,Self,"$100,001 - $250,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t3,Rick Scott,2025-08-13,2024-03-04,,buy,,Municipal Security,Spouse,"$500,001 - $1,000,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t4,Rick Scott,2025-08-13,2024-03-04,,buy,,Municipal Security,Self,"$500,001 - $1,000,000",filtered,source_asset_type_not_stock,,,,
senate_f1058108-7055-4891-9a74-98eb4b670d65_t5,Rick Scott,2025-08-13,2024-03-04,,buy,,Municipal Security,Spouse,"$250,001 - $500,000",filtered,source_asset_type_not_stock,,,,
