signal_date,execution_date,market_regime,selected,selected_count,eligible_count,exclusions,turnover_usd,costs_usd,cash_after_usd
2014-12-31,2015-01-02,on,"LUV,EW,EA,AVGO,DAL,MNST,MU,UAA,MAR,VRTX,RCL,GD,KR,KDP,LRCX,AMGN,REGN,INTC,IRM,AAPL",20,359,"{""eligible"":359,""incomplete_momentum_history"":13,""minimum_liquidity"":2,""minimum_price"":3,""missing_price_series"":107,""not_equity"":15}",99900.09990009994,99.90009990009989,-1.8189894035458565e-12
2015-01-30,2015-02-02,on,"LUV,EW,AVGO,EA,KR,BBY,IRM,RCL,DAL,AAPL,MAR,MNST,MAC,LRCX,KDP,INTC,AMAT,MU,HCA,HUM",20,360,"{""eligible"":360,""incomplete_momentum_history"":13,""minimum_liquidity"":2,""minimum_price"":3,""missing_price_series"":106,""not_equity"":15}",54808.288456025635,54.80828845602563,5.286437954055145e-12
2015-02-27,2015-03-02,on,"LUV,EA,EW,AVGO,KR,MNST,IRM,MO,KDP,RCL,AAPL,LRCX,MAC,WELL,DAL,VRTX,UNH,ETR,MAR,AVB",20,361,"{""eligible"":361,""incomplete_momentum_history"":13,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":106,""not_equity"":15}",68189.86662437973,68.18986662437975,5.4569682106375694e-12
2015-03-31,2015-04-01,on,"SWKS,MNST,AVGO,EA,LUV,EW,AAPL,VRTX,ZTS,KR,IRM,LOW,MO,LRCX,MAR,DLTR,RHI,ROST,HD,SHW",20,364,"{""eligible"":364,""incomplete_momentum_history"":13,""minimum_liquidity"":2,""minimum_price"":3,""missing_price_series"":103,""not_equity"":15}",87215.2841408573,87.21528414085725,-9.094947017729282e-12
2015-04-30,2015-05-01,on,"SWKS,EA,MNST,AVGO,LUV,EW,VRTX,KR,UAA,LOW,HUM,CI,UNH,KMX,RCL,ROST,DLTR,ZTS,REGN,AAL",20,366,"{""eligible"":366,""incomplete_momentum_history"":12,""minimum_liquidity"":2,""minimum_price"":3,""missing_price_series"":102,""not_equity"":15}",83859.04296615707,83.85904296615708,-1.8189894035458565e-11
2015-05-29,2015-06-01,on,"SWKS,MNST,VRTX,EA,AVGO,EW,LUV,UAA,REGN,KMX,LOW,ORLY,ROST,KR,ZTS,DLTR,UNH,TGT,AAPL,HCA",20,366,"{""eligible"":366,""incomplete_momentum_history"":12,""minimum_liquidity"":2,""minimum_price"":3,""missing_price_series"":102,""not_equity"":15}",48585.36486793178,48.58536486793178,4.192202140984591e-12
2015-06-30,2015-07-01,on,"SWKS,AVGO,REGN,MNST,EA,HUM,CI,ZTS,EW,KR,LOW,UNH,DRI,ORLY,ROST,TSCO,HCA,BSX,AAPL,LUV",20,366,"{""eligible"":366,""incomplete_momentum_history"":13,""minimum_liquidity"":2,""minimum_price"":3,""missing_price_series"":101,""not_equity"":15}",57716.706347198124,57.71670634719814,-5.7127635955112055e-12
2015-07-31,2015-08-03,on,"MNST,SWKS,EA,AVGO,CI,HUM,REGN,EW,MHK,LEG,NFLX,HAS,ROST,UNH,DRI,ORLY,KR,CAG,ZTS,TSCO",20,368,"{""eligible"":368,""incomplete_momentum_history"":14,""minimum_liquidity"":2,""minimum_price"":3,""missing_price_series"":99,""not_equity"":14}",59484.21696372873,59.48421696372872,-7.716494110354688e-12
2015-08-31,2015-09-01,off,,0,0,"{""market_regime_off"":1}",100923.3476907456,100.92334769074562,100822.42434305484
2015-09-30,2015-10-01,off,,0,0,"{""market_regime_off"":1}",0.0,0.0,100822.42434305484
2015-10-30,2015-11-02,on,"NFLX,AMZN,EA,VMC,UAA,SBUX,AVGO,SWKS,EXPE,ORLY,STZ,CI,MLM,DRI,MHK,EQIX,MAS,MNST,KR,NKE",20,371,"{""eligible"":371,""incomplete_momentum_history"":15,""minimum_liquidity"":2,""minimum_price"":3,""missing_price_series"":98,""not_equity"":14}",100721.70264041438,100.72170264041439,-2.000888343900442e-11
2015-11-30,2015-12-01,on,"NFLX,AMZN,EA,SBUX,ORLY,EXPE,VMC,BSX,STZ,VLO,MAS,EQIX,NOC,GOOGL,AZO,FISV,EFX,AVY,RCL,HAS",20,373,"{""eligible"":373,""incomplete_momentum_history"":17,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":96,""not_equity"":14}",105718.74649611746,105.7187464961174,1.8189894035458565e-12
2015-12-31,2016-01-04,off,,0,0,"{""market_regime_off"":1}",98722.15147582788,98.72215147582786,98623.42932435204
2016-01-29,2016-02-01,off,,0,0,"{""market_regime_off"":1}",0.0,0.0,98623.42932435204
2016-02-29,2016-03-01,off,,0,0,"{""market_regime_off"":1}",0.0,0.0,98623.42932435204
2016-03-31,2016-04-01,on,"TSN,NFLX,AMZN,HRL,MAT,EQIX,CPB,GOOGL,MSFT,PSA,GOOG,VRSN,AVY,SBUX,NDAQ,EXR,NI,MO,NKE,MAS",20,380,"{""eligible"":380,""incomplete_momentum_history"":15,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":93,""not_equity"":13}",98524.90441993206,98.5249044199321,4.547473508864641e-11
2016-04-29,2016-05-02,on,"TSN,HRL,PSA,EXR,CPB,NI,AMZN,VRSN,EW,GOOGL,NDAQ,O,GOOG,EQIX,MAS,PGR,MCD,CINF,MKC,AVGO",20,380,"{""eligible"":380,""incomplete_momentum_history"":16,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":94,""not_equity"":12}",68555.20105715125,68.55520105715127,-5.171841621631757e-12
2016-05-31,2016-06-01,on,"EW,TSN,AMZN,AWK,DLR,GPN,AYI,HRL,VRSN,CINF,ULTA,MCD,O,TAP,STZ,AIZ,CPB,NOC,GOOG,MAS",20,385,"{""eligible"":385,""incomplete_momentum_history"":14,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":92,""not_equity"":12}",90972.08463418775,90.97208463418774,-5.314859663485549e-12
2016-06-30,2016-07-01,on,"AMZN,AWK,EQIX,ULTA,TSN,GPN,TAP,DLR,EXR,NEM,GOOG,O,PSA,EW,NI,MAS,SYY,VMC,GOOGL,NDAQ",20,385,"{""eligible"":385,""incomplete_momentum_history"":14,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":91,""not_equity"":11}",93729.73675447678,93.72973675447678,-2.2737367544323206e-11
2016-07-29,2016-08-01,on,"NEM,DLR,AWK,NI,ALB,O,TSN,EQIX,ULTA,SYY,KLAC,TAP,IRM,MAT,SJM,AEE,CINF,AMAT,CMS,WEC",20,389,"{""eligible"":389,""incomplete_momentum_history"":12,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":89,""not_equity"":11}",107818.92902612219,107.81892902612213,7.275957614183426e-12
2016-08-31,2016-09-01,on,"NEM,ALB,DHR,TSN,DLR,AMAT,EW,ULTA,O,AWK,NI,KLAC,GRMN,IRM,TAP,AMZN,CINF,PLD,TXN,LNT",20,389,"{""eligible"":389,""incomplete_momentum_history"":12,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":89,""not_equity"":11}",73723.95075580735,73.72395075580735,-8.810729923425242e-13
2016-09-30,2016-10-03,on,"NEM,AMAT,DHR,ALB,WYNN,MAT,TSN,XYL,DLR,AYI,ADSK,EW,OKE,MCHP,ISRG,ULTA,CINF,ITW,AMZN,TXN",20,392,"{""eligible"":392,""incomplete_momentum_history"":12,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":89,""not_equity"":9}",92956.86933836453,92.95686933836457,-1.8189894035458565e-12
2016-10-31,2016-11-01,on,"NEM,AMAT,DHR,TSN,ALB,OKE,HPE,EW,XYL,ISRG,WYNN,GRMN,AVGO,CHTR,O,PWR,SPGI,VTR,APA,ULTA",20,394,"{""eligible"":394,""incomplete_momentum_history"":11,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":88,""not_equity"":9}",89842.13618791223,89.84213618791219,3.0127011996228248e-12
2016-11-30,2016-12-01,on,"NEM,OKE,DHR,ALB,AMAT,URBN,ULTA,HPE,WYNN,QCOM,CMI,TSN,CNP,FCX,GRMN,DLR,FFIV,CHTR,MAT,VTR",20,395,"{""eligible"":395,""incomplete_momentum_history"":10,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":88,""not_equity"":9}",83857.57967925906,83.85757967925909,-2.0804691303055733e-11
2016-12-30,2017-01-03,on,"OKE,FCX,NEM,AMAT,DHR,CMI,PWR,MLM,MUR,ALB,HAL,NUE,HPE,NAVI,BBY,JCI,DVN,KMI,APA,WYNN",20,395,"{""eligible"":395,""incomplete_momentum_history"":10,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":87,""not_equity"":10}",110287.00052421469,110.28700052421479,3.183231456205249e-12
2017-01-31,2017-02-01,on,"FCX,OKE,URI,MU,ZION,AMAT,DHR,PWR,NAVI,MLM,RF,MUR,DVN,FITB,HAL,CFG,NEM,WMB,LNC,HPE",20,395,"{""eligible"":395,""incomplete_momentum_history"":10,""minimum_liquidity"":3,""minimum_price"":2,""missing_price_series"":86,""not_equity"":10}",84429.85387777633,84.42985387777635,3.637978807091713e-12
2017-02-28,2017-03-01,on,"URI,OKE,DVN,MU,FCX,ZION,CSX,RF,CFG,LNC,WMB,WDC,BAC,AMAT,DHR,HAL,PWR,MS,CHTR,FITB",20,396,"{""eligible"":396,""incomplete_momentum_history"":9,""minimum_liquidity"":3,""minimum_price"":2,""missing_price_series"":86,""not_equity"":10}",54601.4021891149,54.60140218911491,-2.4433575163129714e-12
2017-03-31,2017-04-03,on,"AMD,MU,URI,OKE,RF,WMB,CSX,BAC,ZION,DHR,MS,IDXX,CFG,LNC,INCY,KEY,AMAT,FITB,RJF,WDC",20,400,"{""eligible"":400,""incomplete_momentum_history"":8,""minimum_liquidity"":3,""minimum_price"":2,""missing_price_series"":84,""not_equity"":9}",54403.62427947406,54.40362427947408,-6.934897101018578e-12
2017-04-28,2017-05-01,on,"AMD,MU,DXC,INCY,IDXX,AMAT,URI,STX,DHR,WDC,CSX,NTAP,LRCX,NFLX,ALB,BAC,MS,OKE,WMB,JEF",20,402,"{""eligible"":402,""incomplete_momentum_history"":8,""minimum_liquidity"":3,""minimum_price"":2,""missing_price_series"":82,""not_equity"":9}",72552.78179157255,72.55278179157254,-4.547473508864641e-12
2017-05-31,2017-06-01,on,"AMD,MU,CSX,STX,WDC,IDXX,LRCX,DHR,AMAT,BBY,MS,BAC,NTAP,CFG,ADSK,CHTR,DXC,FMC,URI,UAL",20,402,"{""eligible"":402,""incomplete_momentum_history"":8,""minimum_liquidity"":3,""minimum_price"":2,""missing_price_series"":82,""not_equity"":9}",62802.45621890129,62.80245621890126,-6.0822458181064576e-12
2017-06-30,2017-07-03,on,"MU,CSX,AMD,ADSK,BBY,WDC,UAL,AMAT,LRCX,STX,IDXX,ALGN,NFLX,LNC,DHR,CFG,AAL,BAC,SWKS,RCL",20,402,"{""eligible"":402,""incomplete_momentum_history"":8,""minimum_liquidity"":3,""minimum_price"":2,""missing_price_series"":81,""not_equity"":10}",63353.45487911023,63.35345487911022,-8.582446753280238e-12
2017-07-31,2017-08-01,on,"MU,WDC,CSX,AMD,BBY,IDXX,ADSK,BAC,LUV,ALGN,DXC,NFLX,RF,CFG,KEY,UAL,LRCX,DE,AMAT,ZION",20,405,"{""eligible"":405,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":80,""not_equity"":10}",65333.42018049733,65.33342018049733,-2.7284841053187847e-12
2017-08-31,2017-09-01,on,"NRG,BA,WDC,NFLX,ALGN,AMD,FMC,MU,CSX,RCL,DXC,VRTX,LRCX,ADSK,PYPL,BBY,DE,LNC,INCY,BAC",20,405,"{""eligible"":405,""incomplete_momentum_history"":8,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":79,""not_equity"":10}",81957.76103164132,81.95776103164135,-9.094947017729282e-12
2017-09-29,2017-10-02,on,"NRG,AMD,ALGN,BA,VRTX,NFLX,MU,LRCX,FMC,CSX,RCL,DXC,BAC,ADSK,WDC,MAR,URI,CBOE,AMAT,PYPL",20,406,"{""eligible"":406,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":80,""not_equity"":9}",44871.9490789293,44.87194907892931,-1.9326762412674725e-12
2017-10-31,2017-11-01,on,"NVDA,NRG,MU,ALGN,VRTX,LRCX,FMC,BA,URI,AMAT,CSX,AMD,CBOE,AMP,ABBV,ALB,MAR,CI,WYNN,PGR",20,408,"{""eligible"":408,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":1,""missing_price_series"":79,""not_equity"":9}",82539.57176925981,82.53957176925984,-1.7280399333685637e-11
2017-11-30,2017-12-01,on,"ALGN,MU,NRG,LRCX,PYPL,VRTX,AMAT,BA,ISRG,ADSK,ADBE,NFLX,FMC,MTD,CBOE,CDNS,PHM,CNC,ALB,DHI",20,407,"{""eligible"":407,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":79,""not_equity"":9}",117300.83177333708,117.30083177333701,-1.6484591469634324e-12
2017-12-29,2018-01-02,on,"ALGN,NRG,MU,VRTX,ISRG,DHI,PHM,LRCX,PYPL,WYNN,BA,ILMN,CNC,ADBE,CDNS,CBOE,FMC,AMAT,SBAC,EL",20,407,"{""eligible"":407,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":79,""not_equity"":9}",47172.32021431437,47.17232021431436,3.637978807091713e-12
2018-01-31,2018-02-01,on,"ALGN,BA,PYPL,NVDA,VRTX,NRG,DHI,MU,WYNN,CAT,MAR,ABBV,LRCX,CDNS,AVY,TROW,CNC,EL,FMC,CBOE",20,410,"{""eligible"":410,""incomplete_momentum_history"":7,""minimum_liquidity"":1,""minimum_price"":1,""missing_price_series"":78,""not_equity"":9}",75203.65013583149,75.20365013583148,-1.0857093002414331e-11
2018-02-28,2018-03-01,on,"ALGN,NVDA,ABBV,PYPL,NFLX,BA,MU,VRTX,CPRI,BBY,ISRG,CBOE,CAT,WYNN,MAR,TROW,PVH,KSS,AMZN,ADBE",20,409,"{""eligible"":409,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":1,""missing_price_series"":78,""not_equity"":9}",93689.19930823352,93.6891993082335,-1.6228796084760688e-11
2018-03-29,2018-04-02,on,"NKTR,ALGN,NVDA,BA,IPGP,NFLX,TTWO,PYPL,ABBV,AMZN,MU,KSS,CAT,TROW,ISRG,CPRI,EL,ADBE,MA,BBY",20,411,"{""eligible"":411,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":1,""missing_price_series"":76,""not_equity"":9}",60490.12432470689,60.490124324706905,0.0
2018-04-30,2018-05-01,on,"NKTR,NVDA,NFLX,MU,ALGN,IPGP,BA,NRG,KSS,EL,CPRI,ADBE,PYPL,URI,NTAP,PGR,AMZN,TROW,TTWO,XYL",20,411,"{""eligible"":411,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":1,""missing_price_series"":76,""not_equity"":9}",62336.71410009657,62.33671410009657,1.8189894035458565e-12
2018-05-31,2018-06-01,on,"NKTR,CPRI,NFLX,NRG,VLO,BA,ALGN,NTAP,KSS,IPGP,GWW,TROW,RL,ABBV,AMZN,ADBE,NVDA,EL,VFC,MU",20,412,"{""eligible"":412,""incomplete_momentum_history"":6,""minimum_liquidity"":2,""minimum_price"":1,""missing_price_series"":77,""not_equity"":9}",67156.43957433086,67.15643957433088,-5.4569682106375694e-12
2018-06-29,2018-07-02,on,"NKTR,NFLX,ALGN,NRG,VLO,RL,MU,BA,KSS,GWW,ADBE,NTAP,NVDA,INTC,IPGP,TROW,AMZN,CPRI,M,EL",20,412,"{""eligible"":412,""incomplete_momentum_history"":6,""minimum_liquidity"":1,""minimum_price"":1,""missing_price_series"":78,""not_equity"":8}",32912.74355858616,32.912743558586165,-2.8990143619012088e-12
2018-07-31,2018-08-01,on,"NKTR,NFLX,ALGN,GWW,MU,KSS,NTAP,CPRI,STX,CPRT,AMZN,RL,ADBE,M,VLO,ILMN,CF,COP,AKAM,CNC",20,413,"{""eligible"":413,""incomplete_momentum_history"":5,""minimum_liquidity"":1,""minimum_price"":1,""missing_price_series"":78,""not_equity"":8}",85329.7415026238,85.32974150262376,4.547473508864641e-12
2018-08-31,2018-09-04,on,"NKTR,GWW,NTAP,ALGN,NFLX,M,KSS,AMZN,STX,CPRT,CF,RHI,VLO,COP,MU,ILMN,ADBE,HCA,AKAM,ORLY",20,414,"{""eligible"":414,""incomplete_momentum_history"":5,""minimum_liquidity"":1,""minimum_price"":1,""missing_price_series"":77,""not_equity"":8}",44372.93669847749,44.3729366984775,-3.410605131648481e-13
2018-09-28,2018-10-01,on,"NKTR,ALGN,AMZN,GWW,NFLX,NTAP,AMD,CPRT,ADBE,ILMN,STX,KSS,M,BR,HCA,CRM,IDXX,AAP,VLO,ISRG",20,413,"{""eligible"":413,""incomplete_momentum_history"":5,""minimum_liquidity"":2,""minimum_price"":1,""missing_price_series"":76,""not_equity"":8}",79371.19005593857,79.37119005593858,1.2022383089060895e-11
2018-10-31,2018-11-01,off,,0,0,"{""market_regime_off"":1}",105319.38638368525,105.31938638368527,105214.06699730163
2018-11-30,2018-12-03,on,"FTNT,AMD,UAA,UA,KSS,NFLX,HCA,AAP,CMG,M,TRIP,TJX,MKC,AES,TGT,NTAP,COP,RL,BSX,MRK",20,416,"{""eligible"":416,""incomplete_momentum_history"":5,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":74,""not_equity"":4}",105108.9580392623,105.10895803926238,1.4551915228366852e-11
2018-12-31,2019-01-02,off,,0,0,"{""market_regime_off"":1}",91348.57934091148,91.34857934091148,91257.23076157061
2019-01-31,2019-02-01,off,,0,0,"{""market_regime_off"":1}",0.0,0.0,91257.23076157061
2019-02-28,2019-03-01,on,"CMG,NRG,AMD,WELL,KEYS,LLY,AES,FTNT,ULTA,ORLY,TRIP,AAP,VRSN,O,TSCO,MRK,VTR,HCA,BSX,LW",20,420,"{""eligible"":420,""incomplete_momentum_history"":5,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":74,""not_equity"":2}",91166.06469687367,91.16606469687372,2.9103830456733704e-11
2019-03-29,2019-04-01,on,"AMD,CMG,LLY,FTNT,KEYS,TSCO,AES,CDNS,ORLY,VRSN,ULTA,MRK,BSX,GRMN,AZO,INTU,CRM,HCA,TDG,WELL",20,420,"{""eligible"":420,""incomplete_momentum_history"":5,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":74,""not_equity"":2}",59372.2317635378,59.372231763537805,-2.0037305148434825e-12
2019-04-30,2019-05-01,on,"AMD,KEYS,CMG,AZO,LLY,CDNS,WELL,CHD,VRSN,FTNT,AES,GRMN,O,IQV,AMT,EW,ORLY,AAP,PG,TSCO",20,419,"{""eligible"":419,""incomplete_momentum_history"":6,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":74,""not_equity"":2}",69115.71498399354,69.11571498399356,-7.275957614183426e-12
2019-05-31,2019-06-03,off,,0,0,"{""market_regime_off"":1}",91325.16260922063,91.32516260922064,91233.83744661137
2019-06-28,2019-07-01,on,"AMD,SBUX,AZO,CINF,CDNS,MKC,CMG,CHD,AMT,VRSN,HSY,PGR,WELL,GPN,PG,LLY,ULTA,SNPS,PYPL,MSCI",20,420,"{""eligible"":420,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":72,""not_equity"":2}",91142.69475185951,91.1426947518595,2.3646862246096134e-11
2019-07-31,2019-08-01,on,"MKTX,CDNS,SBUX,KEYS,AMD,AZO,CMG,SNPS,XRX,MSCI,APD,VRSN,MTD,GPN,TSCO,AMT,PGR,CINF,DHR,SBAC",20,422,"{""eligible"":422,""incomplete_momentum_history"":7,""minimum_liquidity"":2,""minimum_price"":2,""missing_price_series"":70,""not_equity"":2}",76193.88969194774,76.19388969194777,4.547473508864641e-12
