block,signal_date,execution_date,market_regime,exposure,selected,selected_count,eligible_count,turnover_usd,cash_after_usd
B0_momentum_12_1,2014-12-31,2015-01-02,on,1.0,"LUV,EW,EA,AVGO,DAL,MNST,MU,UAA,MAR,VRTX,RCL,GD,KR,KDP,LRCX,AMGN,REGN,INTC,IRM,AAPL",20,360,99900.09990009994,-1.8189894035458565e-12
B0_momentum_12_1,2015-01-30,2015-02-02,on,1.0,"LUV,EW,AVGO,EA,KR,BBY,IRM,RCL,DAL,AAPL,MAR,MNST,MAC,LRCX,KDP,INTC,AMAT,MU,HCA,HUM",20,361,54808.28845602562,5.286437954055145e-12
B0_momentum_12_1,2015-02-27,2015-03-02,on,1.0,"LUV,EA,EW,AVGO,KR,MNST,IRM,MO,KDP,RCL,AAPL,LRCX,MAC,WELL,DAL,VRTX,UNH,ETR,MAR,AVB",20,362,68189.86662437976,5.4569682106375694e-12
B0_momentum_12_1,2015-03-31,2015-04-01,on,1.0,"SWKS,MNST,AVGO,EA,LUV,EW,AAPL,VRTX,ZTS,KR,IRM,LOW,MO,LRCX,MAR,DLTR,RHI,ROST,HD,SHW",20,365,87215.28414085723,-9.094947017729282e-12
B0_momentum_12_1,2015-04-30,2015-05-01,on,1.0,"SWKS,EA,MNST,AVGO,LUV,EW,VRTX,KR,UAA,LOW,HUM,CI,UNH,KMX,RCL,ROST,DLTR,ZTS,REGN,AAL",20,366,83859.04296615685,-1.8189894035458565e-11
B0_momentum_12_1,2015-05-29,2015-06-01,on,1.0,"SWKS,MNST,VRTX,EA,AVGO,EW,LUV,UAA,REGN,KMX,LOW,ORLY,ROST,KR,ZTS,DLTR,UNH,TGT,AAPL,HCA",20,366,48585.364867931756,4.192202140984591e-12
B0_momentum_12_1,2015-06-30,2015-07-01,on,1.0,"SWKS,AVGO,REGN,MNST,EA,HUM,CI,ZTS,EW,KR,LOW,UNH,DRI,ORLY,ROST,TSCO,HCA,BSX,AAPL,LUV",20,367,57716.70634719817,-5.7127635955112055e-12
B0_momentum_12_1,2015-07-31,2015-08-03,on,1.0,"MNST,SWKS,EA,AVGO,CI,HUM,REGN,EW,MHK,LEG,NFLX,HAS,ROST,UNH,DRI,ORLY,KR,CAG,ZTS,TSCO",20,369,59484.21696372848,-7.716494110354688e-12
B0_momentum_12_1,2015-08-31,2015-09-01,off,0.0,,0,0,100923.34769074549,100822.42434305484
B0_momentum_12_1,2015-09-30,2015-10-01,off,0.0,,0,0,0.0,100822.42434305484
B0_momentum_12_1,2015-10-30,2015-11-02,on,1.0,"NFLX,AMZN,EA,VMC,UAA,SBUX,AVGO,SWKS,EXPE,ORLY,STZ,CI,MLM,DRI,MHK,EQIX,MAS,MNST,KR,NKE",20,374,100721.70264041517,-2.000888343900442e-11
B0_momentum_12_1,2015-11-30,2015-12-01,on,1.0,"NFLX,AMZN,EA,SBUX,ORLY,EXPE,VMC,BSX,STZ,VLO,MAS,EQIX,NOC,GOOGL,AZO,FISV,EFX,AVY,RCL,HAS",20,376,105718.74649611674,1.8189894035458565e-12
B0_momentum_12_1,2015-12-31,2016-01-04,off,0.0,,0,0,98722.15147582779,98623.42932435204
B0_momentum_12_1,2016-01-29,2016-02-01,off,0.0,,0,0,0.0,98623.42932435204
B0_momentum_12_1,2016-02-29,2016-03-01,off,0.0,,0,0,0.0,98623.42932435204
B0_momentum_12_1,2016-03-31,2016-04-01,on,1.0,"TSN,NFLX,AMZN,HRL,MAT,EQIX,CPB,GOOGL,MSFT,PSA,GOOG,VRSN,AVY,SBUX,NDAQ,EXR,NI,MO,NKE,MAS",20,384,98524.90441993158,4.547473508864641e-11
B0_momentum_12_1,2016-04-29,2016-05-02,on,1.0,"TSN,HRL,PSA,EXR,CPB,NI,AMZN,VRSN,EW,GOOGL,NDAQ,O,GOOG,EQIX,MAS,PGR,MCD,CINF,MKC,AVGO",20,384,68555.20105715166,-5.171841621631757e-12
B0_momentum_12_1,2016-05-31,2016-06-01,on,1.0,"EW,TSN,AMZN,AWK,DLR,GPN,AYI,HRL,VRSN,CINF,ULTA,MCD,O,TAP,STZ,AIZ,CPB,NOC,GOOG,MAS",20,390,90972.0846341881,-5.314859663485549e-12
B0_momentum_12_1,2016-06-30,2016-07-01,on,1.0,"AMZN,AWK,EQIX,ULTA,TSN,GPN,TAP,DLR,EXR,NEM,GOOG,O,PSA,EW,NI,MAS,SYY,VMC,GOOGL,NDAQ",20,390,93729.73675447586,-2.2737367544323206e-11
B0_momentum_12_1,2016-07-29,2016-08-01,on,1.0,"NEM,DLR,AWK,NI,ALB,O,TSN,EQIX,ULTA,SYY,KLAC,TAP,IRM,MAT,SJM,AEE,CINF,AMAT,CMS,WEC",20,392,107818.92902612127,7.275957614183426e-12
B0_momentum_12_1,2016-08-31,2016-09-01,on,1.0,"NEM,ALB,DHR,TSN,DLR,AMAT,EW,ULTA,O,AWK,NI,KLAC,GRMN,IRM,TAP,AMZN,CINF,PLD,TXN,LNT",20,393,73723.9507558071,-8.810729923425242e-13
B0_momentum_12_1,2016-09-30,2016-10-03,on,1.0,"NEM,AMAT,DHR,ALB,WYNN,MAT,TSN,XYL,DLR,AYI,ADSK,EW,OKE,MCHP,ISRG,ULTA,CINF,ITW,AMZN,TXN",20,396,92956.86933836387,-1.8189894035458565e-12
B0_momentum_12_1,2016-10-31,2016-11-01,on,1.0,"NEM,AMAT,DHR,TSN,ALB,OKE,HPE,EW,XYL,ISRG,WYNN,GRMN,AVGO,CHTR,O,PWR,SPGI,VTR,APA,ULTA",20,397,89842.13618791103,3.0127011996228248e-12
B0_momentum_12_1,2016-11-30,2016-12-01,on,1.0,"NEM,OKE,DHR,ALB,AMAT,URBN,ULTA,HPE,WYNN,QCOM,CMI,TSN,CNP,FCX,GRMN,DLR,FFIV,CHTR,MAT,VTR",20,397,83857.5796792591,-2.0804691303055733e-11
B0_momentum_12_1,2016-12-30,2017-01-03,on,1.0,"OKE,FCX,NEM,AMAT,DHR,CMI,PWR,MLM,MUR,ALB,HAL,NUE,HPE,NAVI,BBY,JCI,DVN,KMI,APA,WYNN",20,397,110287.0005242154,3.183231456205249e-12
B0_momentum_12_1,2017-01-31,2017-02-01,on,1.0,"FCX,OKE,URI,MU,ZION,AMAT,DHR,PWR,NAVI,MLM,RF,MUR,DVN,FITB,HAL,CFG,NEM,WMB,LNC,HPE",20,397,84429.8538777756,3.637978807091713e-12
B0_momentum_12_1,2017-02-28,2017-03-01,on,1.0,"URI,OKE,DVN,MU,FCX,ZION,CSX,RF,CFG,LNC,WMB,WDC,BAC,AMAT,DHR,HAL,PWR,MS,CHTR,FITB",20,398,54601.402189114364,-2.4433575163129714e-12
B0_momentum_12_1,2017-03-31,2017-04-03,on,1.0,"AMD,MU,URI,OKE,RF,WMB,CSX,BAC,ZION,DHR,MS,IDXX,CFG,LNC,INCY,KEY,AMAT,FITB,RJF,WDC",20,401,54403.62427947414,-6.934897101018578e-12
B0_momentum_12_1,2017-04-28,2017-05-01,on,1.0,"AMD,MU,DXC,INCY,IDXX,AMAT,URI,STX,DHR,WDC,CSX,NTAP,LRCX,NFLX,ALB,BAC,MS,OKE,WMB,JEF",20,403,72552.78179157386,-4.547473508864641e-12
B0_momentum_12_1,2017-05-31,2017-06-01,on,1.0,"AMD,MU,CSX,STX,WDC,IDXX,LRCX,DHR,AMAT,BBY,MS,BAC,NTAP,CFG,ADSK,CHTR,DXC,FMC,URI,UAL",20,403,62802.456218901556,-6.0822458181064576e-12
B0_momentum_12_1,2017-06-30,2017-07-03,on,1.0,"MU,CSX,AMD,ADSK,BBY,WDC,UAL,AMAT,LRCX,STX,IDXX,ALGN,NFLX,LNC,DHR,CFG,AAL,BAC,SWKS,RCL",20,404,63353.45487911068,-8.582446753280238e-12
B0_momentum_12_1,2017-07-31,2017-08-01,on,1.0,"MU,WDC,CSX,AMD,BBY,IDXX,ADSK,BAC,LUV,ALGN,DXC,NFLX,RF,CFG,KEY,UAL,LRCX,DE,AMAT,ZION",20,406,65333.42018049816,-2.7284841053187847e-12
B0_momentum_12_1,2017-08-31,2017-09-01,on,1.0,"NRG,BA,WDC,NFLX,ALGN,AMD,FMC,MU,CSX,RCL,DXC,VRTX,LRCX,ADSK,PYPL,BBY,DE,LNC,INCY,BAC",20,407,81957.7610316407,-9.094947017729282e-12
B0_momentum_12_1,2017-09-29,2017-10-02,on,1.0,"NRG,AMD,ALGN,BA,VRTX,NFLX,MU,LRCX,FMC,CSX,RCL,DXC,BAC,ADSK,WDC,MAR,URI,CBOE,AMAT,PYPL",20,408,44871.94907892821,-1.9326762412674725e-12
B0_momentum_12_1,2017-10-31,2017-11-01,on,1.0,"NVDA,NRG,MU,ALGN,VRTX,LRCX,FMC,BA,URI,AMAT,CSX,AMD,CBOE,AMP,ABBV,ALB,MAR,CI,WYNN,PGR",20,410,82539.57176926034,-1.7280399333685637e-11
B0_momentum_12_1,2017-11-30,2017-12-01,on,1.0,"ALGN,MU,NRG,LRCX,PYPL,VRTX,AMAT,BA,ISRG,ADSK,ADBE,NFLX,FMC,MTD,CBOE,CDNS,PHM,CNC,ALB,DHI",20,409,117300.83177333884,-1.6484591469634324e-12
B0_momentum_12_1,2017-12-29,2018-01-02,on,1.0,"ALGN,NRG,MU,VRTX,ISRG,DHI,PHM,LRCX,PYPL,WYNN,BA,ILMN,CNC,ADBE,CDNS,CBOE,FMC,AMAT,SBAC,EL",20,409,47172.32021431485,3.637978807091713e-12
