block,start_date,end_date,return_pct
B0_momentum_12_1,2015-01-02,2016-01-04,-0.6934084570547339
B0_momentum_12_1,2015-01-05,2016-01-05,0.5424417646048729
B0_momentum_12_1,2015-01-06,2016-01-06,1.7816419814443485
B0_momentum_12_1,2015-01-07,2016-01-07,0.1280275185616908
B0_momentum_12_1,2015-01-08,2016-01-08,-2.170211214358775
B0_momentum_12_1,2015-01-09,2016-01-11,-1.6182080731811266
B0_momentum_12_1,2015-01-12,2016-01-12,-0.29628616139564246
B0_momentum_12_1,2015-01-13,2016-01-13,-0.12676523473235113
B0_momentum_12_1,2015-01-14,2016-01-14,0.22035231142716327
B0_momentum_12_1,2015-01-15,2016-01-15,1.1317836132923143
B0_momentum_12_1,2015-01-16,2016-01-19,-0.2677905032434702
B0_momentum_12_1,2015-01-20,2016-01-20,-1.244947846153055
B0_momentum_12_1,2015-01-21,2016-01-21,-1.8722886214094348
B0_momentum_12_1,2015-01-22,2016-01-22,-3.7897106910189438
B0_momentum_12_1,2015-01-23,2016-01-25,-3.7863437757568175
B0_momentum_12_1,2015-01-26,2016-01-26,-4.086947723657797
B0_momentum_12_1,2015-01-27,2016-01-27,-2.7185820794076276
B0_momentum_12_1,2015-01-28,2016-01-28,-2.591075389677988
B0_momentum_12_1,2015-01-29,2016-01-29,-3.224412976045221
B0_momentum_12_1,2015-01-30,2016-02-01,-0.8212056086952857
B0_momentum_12_1,2015-02-02,2016-02-02,-0.7696144143397365
B0_momentum_12_1,2015-02-03,2016-02-03,-1.3817924056161113
B0_momentum_12_1,2015-02-04,2016-02-04,-2.280381318838065
B0_momentum_12_1,2015-02-05,2016-02-05,-2.7819526825547225
B0_momentum_12_1,2015-02-06,2016-02-08,-2.0492286916746982
B0_momentum_12_1,2015-02-09,2016-02-09,-0.5755457487099047
B0_momentum_12_1,2015-02-10,2016-02-10,-3.1412754853195723
B0_momentum_12_1,2015-02-11,2016-02-11,-3.453377287236059
B0_momentum_12_1,2015-02-12,2016-02-12,-4.284626880348452
B0_momentum_12_1,2015-02-13,2016-02-16,-4.035500892297062
B0_momentum_12_1,2015-02-17,2016-02-17,-4.327846717112893
B0_momentum_12_1,2015-02-18,2016-02-18,-4.801532430988109
B0_momentum_12_1,2015-02-19,2016-02-19,-4.9413453532048734
B0_momentum_12_1,2015-02-20,2016-02-22,-5.438429741812079
B0_momentum_12_1,2015-02-23,2016-02-23,-5.6797654395621455
B0_momentum_12_1,2015-02-24,2016-02-24,-5.825169973000777
B0_momentum_12_1,2015-02-25,2016-02-25,-5.257148722875538
B0_momentum_12_1,2015-02-26,2016-02-26,-5.842202830041899
B0_momentum_12_1,2015-02-27,2016-02-29,-5.986972723725792
B0_momentum_12_1,2015-03-02,2016-03-01,-6.888700180690954
B0_momentum_12_1,2015-03-03,2016-03-02,-6.541649876891864
B0_momentum_12_1,2015-03-04,2016-03-03,-6.045308415885186
B0_momentum_12_1,2015-03-05,2016-03-04,-6.984877174002035
B0_momentum_12_1,2015-03-06,2016-03-07,-5.32510195403434
B0_momentum_12_1,2015-03-09,2016-03-08,-6.25903940337178
B0_momentum_12_1,2015-03-10,2016-03-09,-5.046611211935326
B0_momentum_12_1,2015-03-11,2016-03-10,-4.781112374684926
B0_momentum_12_1,2015-03-12,2016-03-11,-6.24534158463077
B0_momentum_12_1,2015-03-13,2016-03-14,-5.943131550700942
B0_momentum_12_1,2015-03-16,2016-03-15,-7.8662227206085955
B0_momentum_12_1,2015-03-17,2016-03-16,-7.218817779276499
